Epoch,Disc LR,D per G,Disc Loss,Real Guess,Real Quant,Fake Guess,Fake Quant
448,4e-05,1,1.3750971905390421,0.5053896979490916,0.4279167652130127,0.49968305746714275,0.6024540662765503
449,4e-05,1,1.2290639511744181,0.5438486011823018,0.418529212474823,0.46068275332450864,0.5815447568893433
450,4e-05,1,1.1743148040771485,0.5632329428195954,0.39717668294906616,0.4489818215370178,0.6575761437416077
451,4e-05,1,1.045293706258138,0.6017389059066772,0.46691834926605225,0.41375500122706094,0.6053876280784607
452,4e-05,1,1.0211934351921081,0.6065767375628154,0.3733401298522949,0.40386827031771344,0.7336310744285583
453,4e-05,1,0.9526597992579142,0.624018308321635,0.4465113580226898,0.3789610966046651,0.45374777913093567
454,4e-05,1,0.7355504496892293,0.692554345925649,0.4427361786365509,0.30679080963134764,0.44956642389297485
455,4e-05,1,0.5928554224967957,0.7406509455045064,0.592706024646759,0.25270465890566507,0.3119702935218811
456,4e-05,1,0.4583771395683289,0.7909041206041972,0.7862387299537659,0.2000875151157379,0.37179702520370483
457,4e-05,1,0.3952229966719945,0.8191474775473276,0.7883804440498352,0.17771217226982117,0.22292260825634003
458,4e-05,1,0.38444115627895703,0.8231715126471086,0.8002095222473145,0.17282240363684567,0.22609318792819977
459,4e-05,1,0.37801676243543625,0.8189580142498016,0.787688136100769,0.16326266527175903,0.22211112082004547
460,4e-05,1,0.3608990013599396,0.8291715383529663,0.7922952771186829,0.15934058278799057,0.21547937393188477
461,4e-05,1,0.3684954047203064,0.8291639089584351,0.7893755435943604,0.16569644212722778,0.2165503054857254
462,4e-05,1,0.3580330014228821,0.8308236002922058,0.786196231842041,0.15860599279403687,0.19916152954101562
463,4e-05,1,0.3926704227924347,0.8200576901435852,0.7901998162269592,0.1765807867050171,0.25195497274398804
464,4e-05,1,0.3612658381462097,0.8337622880935669,0.8064274191856384,0.16427765786647797,0.21940618753433228
465,4e-05,1,0.3893403857946396,0.8244962990283966,0.801564633846283,0.17817330360412598,0.25331076979637146
466,4e-05,1,0.4041918218135834,0.8196909096505907,0.7810046672821045,0.1853997657696406,0.21971216797828674
467,4e-05,1,0.37810558676719663,0.818884813785553,0.7874164581298828,0.16322548389434816,0.20414544641971588
468,4e-05,1,0.37426935136318207,0.8275000751018524,0.7872798442840576,0.1687673181295395,0.24490517377853394
469,4e-05,1,0.35301122069358826,0.8393752574920654,0.7889732122421265,0.16298547387123108,0.20138753950595856
470,4e-05,1,0.3509306013584137,0.8362367153167725,0.7905410528182983,0.158094123005867,0.19586670398712158
471,4e-05,1,0.38212427496910095,0.8235697348912557,0.8197934031486511,0.17126942508750492,0.21844598650932312
472,4e-05,1,0.3509470820426941,0.8381441235542297,0.8096957206726074,0.16002391278743744,0.23538070917129517
473,4e-05,1,0.37319740653038025,0.8191085159778595,0.802162230014801,0.1593240648508072,0.2387474775314331
474,4e-05,1,0.36072856187820435,0.8332651257514954,0.7986468076705933,0.16332967579364777,0.2327222228050232
475,4e-05,1,0.36998873949050903,0.828597903251648,0.799094557762146,0.1663723587989807,0.24293382465839386
476,4e-05,1,0.3508174419403076,0.8356896638870239,0.8094537854194641,0.15744763612747192,0.2132984846830368
477,4e-05,1,0.35084694623947144,0.8370270729064941,0.808050274848938,0.15881873667240143,0.2310306429862976
478,4e-05,1,0.36213910579681396,0.8292077779769897,0.7979922890663147,0.16042092442512512,0.22053052484989166
479,4e-05,1,0.3786075711250305,0.8313813805580139,0.7942844033241272,0.17629344761371613,0.27476778626441956
480,4e-05,1,0.36134254932403564,0.8332610130310059,0.7979596257209778,0.16383907198905945,0.2275037318468094
481,4e-05,1,0.35496532917022705,0.8319079875946045,0.7939074039459229,0.15712100267410278,0.2251819521188736
482,4e-05,1,0.36824917793273926,0.8368930220603943,0.8008204698562622,0.17319807410240173,0.26028314232826233
483,4e-05,1,0.38566136360168457,0.8294004797935486,0.8023397326469421,0.1801297962665558,0.28812089562416077
484,4e-05,1,0.3654361665248871,0.8302978277206421,0.7918372750282288,0.16428311169147491,0.23341818153858185
485,4e-05,1,0.3673912584781647,0.8370614647865295,0.8060093522071838,0.17265498638153076,0.2734164893627167
486,4e-05,1,0.3539784252643585,0.8349491953849792,0.809763491153717,0.15936189889907837,0.2213824838399887
487,4e-05,1,0.3744748830795288,0.8242247104644775,0.7818023562431335,0.1657004952430725,0.2402821034193039
488,4e-05,1,0.3643614649772644,0.829858124256134,0.7855677008628845,0.16294117271900177,0.24821192026138306
489,4e-05,1,0.3770514726638794,0.8226345181465149,0.7971168160438538,0.16623881459236145,0.25140130519866943
490,4e-05,1,0.38024644553661346,0.8248666822910309,0.8103953003883362,0.17103765159845352,0.2359350621700287
491,4e-05,1,0.3839758634567261,0.8209739327430725,0.7868382930755615,0.17031732201576233,0.251560777425766
