Epoch,Learning Rate,Training Loss,Time Loss,FFT Loss,Offset Loss,Amplitude Loss,Regularization Loss,Adversarial Loss,STFT Loss,PINN Loss,Error,Mean,Var,Testing Loss,Testing Time Loss,Testing FFT Loss,Testing Offset Loss,Testing Amplitude Loss,Testing Regularization Loss,Testing Adversarial Loss,Testing STFT Loss,Testing PINN Loss,Testing Error,Testing Mean,Testing Var,Phase
0,0.0001,14.50052653418647,3.594110435909695,10.529808733198378,0.0637653581798076,0.079861340423425,0.0510143041610717,0.1819662037822935,0.0,0.0,0,-0.0155760220821119,0.337772657473882,15.41868782043457,3.4886155128479004,10.764030456542969,0.0657434538006782,0.1324006021022796,0.5751901268959045,0.3927074372768402,0.0,0.0,0,-0.0089466292411088,4.545044248516206e-06,1
1,9.994579552923276e-05,5.16128675142924,1.5619540082083807,3.216521660486857,0.0077761158916271,0.0613893407086531,0.1337528154253959,0.1798927932977676,0.0,0.0,0,-0.058023022280799,0.5245127081871033,7.109346389770508,1.5438121557235718,4.650794982910156,0.0200964324176311,0.1143334880471229,0.3855287134647369,0.3947804272174835,0.0,0.0,0,-0.0502477511763572,0.0003508896916173,1
2,9.978331270024886e-05,2.4454788631863065,0.8695091075367398,1.243974659177992,0.0002916644492769,0.0484061973790327,0.1326322174734539,0.1506650182935926,0.0,0.0,0,-0.0671212652491198,0.6366756823327806,3.655722141265869,0.7806598544120789,2.2597014904022217,0.0035337919835001,0.1176579892635345,0.2527656257152557,0.2414032518863678,0.0,0.0,0,-0.0647642314434051,0.0105442833155393,1
3,9.951294294841516e-05,1.7519134018156264,0.8069596687952677,0.6689181791411506,1.6732857921574072e-05,0.0308128967881202,0.1026795225010977,0.14252646598551,0.0,0.0,0,-0.0506040056546529,0.8382312324311998,2.529448986053467,0.5989297032356262,1.4985005855560305,0.0004833544953726,0.0978365689516067,0.1402875334024429,0.1934114098548889,0.0,0.0,0,-0.0692216381430625,0.0993546918034553,1
4,9.913533761814536e-05,1.3979130585988362,0.7508692079120212,0.4353314373228285,6.537462110619193e-06,0.0187938211278782,0.0742920165260632,0.1186200645234849,0.0,0.0,0,-0.0457266370455424,0.9611496660444472,1.701061487197876,0.5360492467880249,0.8900351524353027,5.664778291247785e-05,0.0572945177555084,0.0750175938010215,0.1426084488630294,0.0,0.0,0,-0.0602489858865737,0.3481478095054626,1
5,9.865140639375448e-05,1.1118166314231024,0.6140046781963773,0.3345983955595228,1.2623916669933047e-05,0.0125249981259306,0.0558156445622444,0.0948603087001376,0.0,0.0,0,-0.0452115701304541,1.1048893796073065,1.0936224460601809,0.4233317077159881,0.5018414855003357,1.990518398997665e-07,0.0270597301423549,0.0488720312714576,0.0925173163414001,0.0,0.0,0,-0.0557644553482532,0.7712700366973877,1
6,9.80623151079494e-05,0.8668799135420058,0.4360497593879699,0.301877541674508,8.548716804470916e-06,0.0107778409082028,0.0443734874327977,0.0737927315963639,0.0,0.0,0,-0.0501534947090678,1.1844692362679377,0.7847191095352173,0.3195948004722595,0.342732161283493,2.7401261831982996e-05,0.0143513772636652,0.0417807064950466,0.0662326961755752,0.0,0.0,0,-0.0517320111393928,0.9754825234413148,1
7,9.736948293323592e-05,0.6735031406084696,0.303948207034005,0.266918592982822,3.3255762398691026e-05,0.0083777872431609,0.0371386479172441,0.0570866813262303,0.0,0.0,0,-0.0431675865418381,1.1083340247472129,0.6110725998878479,0.2352808564901352,0.2781009078025818,0.0001114757178584,0.009518732316792,0.0367224402725696,0.0513381771743297,0.0,0.0,0,-0.044472899287939,0.9896129369735718,1
8,9.657457896300792e-05,0.5303600794739194,0.2067196600966983,0.2386880798472298,1.4385875301867498e-05,0.0070914701662129,0.0333057083189487,0.0445407749050193,0.0,0.0,0,-0.0390410518480671,1.0063761075337727,0.5317691564559937,0.1724494099617004,0.2725417613983154,0.0003030895313713,0.0058990833349525,0.0360766947269439,0.0444991178810596,0.0,0.0,0,-0.0434373877942562,1.0406999588012695,1
9,9.567951819055496e-05,0.389629668659634,0.1353223000963529,0.1867731031444337,4.077207303352124e-05,0.0046426301511625,0.03064132688774,0.0322095414416657,0.0,0.0,0,-0.0369497562448183,0.963997377289666,0.3970313370227813,0.1227754652500152,0.2046803683042526,0.0001828045787988,0.0032340344041585,0.0334131009876728,0.0327455811202526,0.0,0.0,0,-0.0385715290904045,1.0493671894073486,1
