Epoch,Learning Rate,Training Loss,Time Loss,FFT Loss,Offset Loss,Amplitude Loss,Regularization Loss,Adversarial Loss,STFT Loss,PINN Loss,Error,Mean,Var,Testing Loss,Testing Time Loss,Testing FFT Loss,Testing Offset Loss,Testing Amplitude Loss,Testing Regularization Loss,Testing Adversarial Loss,Testing STFT Loss,Testing PINN Loss,Testing Error,Testing Mean,Testing Var
0,0.0001,14.50052653418647,3.594110435909695,10.529808733198378,0.06376535817980766,0.07986134042342503,0.05101430416107178,0.18196620378229353,0.0,0.0,0,-0.015576022082111902,0.337772657473882,15.41868782043457,3.4886155128479004,10.764030456542969,0.06574345380067825,0.13240060210227966,0.5751901268959045,0.3927074372768402,0.0,0.0,0,-0.008946629241108894,4.545044248516206e-06
1,9.994579552923276e-05,5.16128675142924,1.5619540082083807,3.216521660486857,0.007776115891627139,0.06138934070865313,0.13375281542539597,0.17989279329776764,0.0,0.0,0,-0.058023022280799016,0.5245127081871033,7.109346389770508,1.5438121557235718,4.650794982910156,0.02009643241763115,0.11433348804712296,0.38552871346473694,0.3947804272174835,0.0,0.0,0,-0.05024775117635727,0.00035088969161733985
2,9.978331270024886e-05,2.4454788631863065,0.8695091075367398,1.243974659177992,0.0002916644492769491,0.04840619737903277,0.13263221747345394,0.15066501829359266,0.0,0.0,0,-0.06712126524911986,0.6366756823327806,3.655722141265869,0.7806598544120789,2.2597014904022217,0.003533791983500123,0.11765798926353455,0.25276562571525574,0.2414032518863678,0.0,0.0,0,-0.06476423144340515,0.01054428331553936
3,9.951294294841516e-05,1.7519134018156264,0.8069596687952677,0.6689181791411506,1.6732857921574072e-05,0.03081289678812027,0.10267952250109778,0.14252646598551008,0.0,0.0,0,-0.050604005654652916,0.8382312324311998,2.529448986053467,0.5989297032356262,1.4985005855560303,0.0004833544953726232,0.09783656895160675,0.14028753340244293,0.19341140985488892,0.0,0.0,0,-0.06922163814306259,0.09935469180345535
4,9.913533761814537e-05,1.3979130585988362,0.7508692079120212,0.43533143732282853,6.537462110619193e-06,0.018793821127878294,0.07429201652606328,0.11862006452348497,0.0,0.0,0,-0.0457266370455424,0.9611496660444472,1.701061487197876,0.5360492467880249,0.8900351524353027,5.664778291247785e-05,0.05729451775550842,0.07501759380102158,0.14260844886302948,0.0,0.0,0,-0.06024898588657379,0.34814780950546265
5,9.865140639375449e-05,1.1118166314231024,0.6140046781963773,0.33459839555952287,1.2623916669933047e-05,0.012524998125930628,0.055815644562244415,0.09486030870013767,0.0,0.0,0,-0.04521157013045417,1.1048893796073065,1.0936224460601807,0.42333170771598816,0.5018414855003357,1.990518398997665e-07,0.027059730142354965,0.04887203127145767,0.09251731634140015,0.0,0.0,0,-0.05576445534825325,0.7712700366973877
6,9.80623151079494e-05,0.8668799135420058,0.43604975938796997,0.301877541674508,8.548716804470916e-06,0.01077784090820286,0.04437348743279775,0.07379273159636392,0.0,0.0,0,-0.050153494709067874,1.1844692362679377,0.7847191095352173,0.3195948004722595,0.34273216128349304,2.7401261831982993e-05,0.0143513772636652,0.041780706495046616,0.06623269617557526,0.0,0.0,0,-0.05173201113939285,0.9754825234413147
7,9.736948293323593e-05,0.6735031406084696,0.30394820703400505,0.266918592982822,3.3255762398691026e-05,0.008377787243160937,0.037138647917244166,0.05708668132623037,0.0,0.0,0,-0.04316758654183812,1.1083340247472127,0.6110725998878479,0.2352808564901352,0.2781009078025818,0.00011147571785841137,0.009518732316792011,0.036722440272569656,0.05133817717432976,0.0,0.0,0,-0.04447289928793907,0.9896129369735718
8,9.657457896300791e-05,0.5303600794739194,0.20671966009669834,0.23868807984722984,1.4385875301867498e-05,0.0070914701662129825,0.033305708318948746,0.044540774905019336,0.0,0.0,0,-0.03904105184806718,1.0063761075337727,0.5317691564559937,0.17244940996170044,0.27254176139831543,0.00030308953137136996,0.005899083334952593,0.03607669472694397,0.04449911788105965,0.0,0.0,0,-0.04343738779425621,1.0406999588012695
9,9.567951819055496e-05,0.38962966865963405,0.1353223000963529,0.18677310314443377,4.0772073033521236e-05,0.004642630151162545,0.03064132688774003,0.032209541441665754,0.0,0.0,0,-0.03694975624481837,0.9639973772896661,0.39703133702278137,0.12277546525001526,0.20468036830425262,0.00018280457879882306,0.0032340344041585922,0.033413100987672806,0.03274558112025261,0.0,0.0,0,-0.03857152909040451,1.0493671894073486
10,9.468645689567598e-05,0.29509133762783474,0.09796836309962803,0.14144200583299002,1.3526288542367285e-05,0.002732475947899123,0.028993934185968503,0.02394103693465392,0.0,0.0,0,-0.03503184186087714,0.9141013026237488,0.28407004475593567,0.08820594847202301,0.14123842120170593,6.34401585557498e-05,0.0015063050668686628,0.03011149726808071,0.022944437339901924,0.0,0.0,0,-0.03750612586736679,0.9913735389709473
11,9.359778745001225e-05,0.23750692274835375,0.0763872977760103,0.11350993977652656,3.055745858344178e-05,0.0013769841623596018,0.027212415718370013,0.018989724417527516,0.0,0.0,0,-0.03539454398883714,0.8811974922815958,0.21036629378795624,0.06981644779443741,0.09615609794855118,2.4076749468804337e-05,0.0010397296864539385,0.026732677593827248,0.01659725420176983,0.0,0.0,0,-0.03649128973484039,0.9576165676116943
12,9.241613255361455e-05,0.1882551842265659,0.06155368685722351,0.08567401104503208,1.3967001409851162e-05,0.0009040553640160295,0.02538669067952368,0.01472277007997036,0.0,0.0,0,-0.03479609886805216,0.8464306659168668,0.20205378532409668,0.060898661613464355,0.0986153706908226,8.266044460469857e-05,0.0007132350583560765,0.025792447850108147,0.015951404348015785,0.0,0.0,0,-0.03577408194541931,0.9174891114234924
