Epoch,D LR,G LR
631,4e-05,7.473773073423376e-05
632,4e-05,7.448922184839184e-05
633,4e-05,7.42399792043627e-05
634,4e-05,7.3990012185991e-05
635,4e-05,7.373933020439369e-05
636,4e-05,7.348794269760568e-05
637,4e-05,7.323585913022454e-05
638,4e-05,7.298308899305411e-05
639,4e-05,7.272964180274717e-05
640,4e-05,7.247552710144719e-05
641,4e-05,7.222075445642905e-05
642,4e-05,7.196533345973882e-05
643,4e-05,7.170927372783269e-05
644,4e-05,7.145258490121483e-05
645,4e-05,7.119527664407447e-05
646,4e-05,7.093735864392207e-05
647,4e-05,7.067884061122455e-05
648,4e-05,7.041973227903975e-05
649,4e-05,7.01600434026499e-05
650,4e-05,6.989978375919444e-05
651,4e-05,6.963896314730185e-05
652,4e-05,6.937759138672072e-05
653,4e-05,6.911567831795013e-05
654,4e-05,6.885323380186907e-05
655,4e-05,6.859026771936528e-05
656,4e-05,6.832678997096308e-05
657,4e-05,6.80628104764508e-05
658,4e-05,6.779833917450724e-05
659,4e-05,6.753338602232739e-05
660,4e-05,6.726796099524771e-05
661,4e-05,6.700207408637044e-05
662,4e-05,6.67357353061874e-05
663,4e-05,6.646895468220317e-05
664,4e-05,6.620174225855742e-05
665,4e-05,6.593410809564689e-05
666,4e-05,6.566606226974653e-05
667,4e-05,6.539761487263021e-05
668,4e-05,6.512877601119068e-05
669,4e-05,6.485955580705915e-05
670,4e-05,6.458996439622412e-05
671,4e-05,6.432001192864983e-05
672,4e-05,6.404970856789415e-05
673,4e-05,6.377906449072579e-05
674,4e-05,6.350808988674128e-05
675,4e-05,6.323679495798136e-05
676,4e-05,6.29651899185467e-05
677,4e-05,6.269328499421356e-05
678,4e-05,6.242109042204866e-05
679,4e-05,6.214861645002377e-05
680,4e-05,6.187587333662996e-05
681,4e-05,6.160287135049128e-05
682,4e-05,6.132962076997822e-05
683,4e-05,6.105613188282068e-05
684,4e-05,6.07824149857207e-05
685,4e-05,6.0508480383964735e-05
686,4e-05,6.023433839103572e-05
687,4e-05,5.9959999328224744e-05
688,4e-05,5.968547352424246e-05
689,4e-05,5.9410771314830245e-05
690,4e-05,5.913590304237097e-05
691,4e-05,5.88608790554998e-05
692,4e-05,5.858570970871435e-05
693,4e-05,5.831040536198504e-05
694,4e-05,5.8034976380364885e-05
695,4e-05,5.775943313359939e-05
696,4e-05,5.748378599573606e-05
697,4e-05,5.720804534473382e-05
698,4e-05,5.693222156207235e-05
699,4e-05,5.6656325032361155e-05
700,4e-05,5.638036614294865e-05
701,4e-05,5.610435528353105e-05
702,4e-05,5.582830284576122e-05
703,4e-05,5.5552219222857396e-05
704,4e-05,5.527611480921196e-05
705,4e-05,5.5e-05
706,4e-05,5.472388519078806e-05
707,4e-05,5.444778077714261e-05
708,4e-05,5.417169715423879e-05
709,4e-05,5.389564471646895e-05
710,4e-05,5.3619633857051356e-05
711,4e-05,5.3343674967638856e-05
712,4e-05,5.306777843792767e-05
713,4e-05,5.279195465526619e-05
714,4e-05,5.251621400426395e-05
715,4e-05,5.2240566866400616e-05
716,4e-05,5.196502361963512e-05
717,4e-05,5.1689594638014975e-05
718,4e-05,5.141429029128565e-05
719,4e-05,5.113912094450021e-05
720,4e-05,5.086409695762903e-05
721,4e-05,5.058922868516977e-05
722,4e-05,5.031452647575754e-05
723,4e-05,5.004000067177526e-05
724,4e-05,4.9765661608964285e-05
725,4e-05,4.9491519616035276e-05
726,4e-05,4.921758501427931e-05
727,4e-05,4.894386811717933e-05
728,4e-05,4.867037923002179e-05
729,4e-05,4.839712864950873e-05
730,4e-05,4.8124126663370055e-05
731,4e-05,4.7851383549976244e-05
732,4e-05,4.757890957795135e-05
733,4e-05,4.730671500578644e-05
734,4e-05,4.703481008145331e-05
735,4e-05,4.676320504201866e-05
736,4e-05,4.649191011325872e-05
737,4e-05,4.6220935509274235e-05
738,4e-05,4.595029143210587e-05
739,4e-05,4.567998807135017e-05
740,4e-05,4.541003560377589e-05
741,4e-05,4.5140444192940864e-05
742,4e-05,4.487122398880933e-05
743,4e-05,4.4602385127369805e-05
744,4e-05,4.433393773025348e-05
745,4e-05,4.406589190435313e-05
746,4e-05,4.379825774144259e-05
747,4e-05,4.353104531779685e-05
748,4e-05,4.32642646938126e-05
749,4e-05,4.2997925913629577e-05
750,4e-05,4.2732039004752306e-05
751,4e-05,4.2466613977672614e-05
752,4e-05,4.2201660825492774e-05
753,4e-05,4.193718952354921e-05
754,4e-05,4.1673210029036926e-05
755,4e-05,4.140973228063474e-05
756,4e-05,4.114676619813093e-05
757,4e-05,4.088432168204989e-05
758,4e-05,4.062240861327929e-05
759,4e-05,4.0361036852698175e-05
760,4e-05,4.010021624080557e-05
761,4e-05,3.98399565973501e-05
762,4e-05,3.9580267720960266e-05
763,4e-05,3.932115938877545e-05
764,4e-05,3.906264135607793e-05
765,4e-05,3.8804723355925536e-05
766,4e-05,3.854741509878518e-05
767,4e-05,3.829072627216731e-05
768,4e-05,3.803466654026118e-05
769,4e-05,3.777924554357096e-05
770,4e-05,3.7524472898552825e-05
771,4e-05,3.7270358197252845e-05
772,4e-05,3.7016911006945905e-05
773,4e-05,3.676414086977546e-05
774,4e-05,3.6512057302394335e-05
775,4e-05,3.6260669795606336e-05
776,4e-05,3.600998781400902e-05
777,4e-05,3.576002079563732e-05
778,4e-05,3.551077815160817e-05
779,4e-05,3.526226926576627e-05
780,4e-05,3.5014503494330694e-05
781,4e-05,3.47674901655427e-05
782,4e-05,3.452123857931454e-05
783,4e-05,3.42757580068792e-05
784,4e-05,3.4031057690441535e-05
785,4e-05,3.3787146842830105e-05
786,4e-05,3.3544034647150515e-05
787,4e-05,3.3301730256439484e-05
788,4e-05,3.306024279332039e-05
789,4e-05,3.281958134965973e-05
790,4e-05,3.257975498622483e-05
791,4e-05,3.234077273234272e-05
792,4e-05,3.210264358556018e-05
793,4e-05,3.1865376511305024e-05
794,4e-05,3.162898044254847e-05
795,4e-05,3.139346427946891e-05
796,4e-05,3.115883688911674e-05
797,4e-05,3.0925107105080636e-05
798,4e-05,3.0692283727154825e-05
799,4e-05,3.046037552100792e-05
800,4e-05,3.022939121785279e-05
801,4e-05,2.9999339514117912e-05
802,4e-05,2.9770229071119882e-05
803,4e-05,2.9542068514737404e-05
804,4e-05,2.9314866435086483e-05
805,4e-05,2.9088631386196964e-05
806,4e-05,2.8863371885690602e-05
807,4e-05,2.8639096414460252e-05
808,4e-05,2.8415813416350672e-05
809,4e-05,2.81935312978405e-05
810,4e-05,2.797225842772591e-05
811,4e-05,2.7752003136805358e-05
812,4e-05,2.753277371756607e-05
813,4e-05,2.7314578423871798e-05
814,4e-05,2.7097425470651984e-05
815,4e-05,2.688132303359262e-05
816,4e-05,2.6666279248828283e-05
817,4e-05,2.6452302212635962e-05
818,4e-05,2.6239399981130096e-05
819,4e-05,2.6027580569959397e-05
820,4e-05,2.581685195400494e-05
821,4e-05,2.5607222067080057e-05
822,4e-05,2.5398698801631465e-05
823,4e-05,2.5191290008442265e-05
824,4e-05,2.498500349633632e-05
825,4e-05,2.477984703188417e-05
826,4e-05,2.4575828339110792e-05
827,4e-05,2.4372955099204616e-05
828,4e-05,2.4171234950228492e-05
829,4e-05,2.397067548683199e-05
830,4e-05,2.3771284259965582e-05
831,4e-05,2.3573068776596227e-05
832,4e-05,2.3376036499424872e-05
833,4e-05,2.3180194846605367e-05
834,4e-05,2.2985551191465257e-05
835,4e-05,2.2792112862228164e-05
836,4e-05,2.259988714173783e-05
837,4e-05,2.2408881267183997e-05
838,4e-05,2.221910242982987e-05
839,4e-05,2.203055777474143e-05
840,4e-05,2.1843254400518356e-05
841,4e-05,2.165719935902685e-05
842,4e-05,2.1472399655134033e-05
843,4e-05,2.128886224644434e-05
844,4e-05,2.110659404303744e-05
845,4e-05,2.09256019072082e-05
846,4e-05,2.0745892653208226e-05
847,4e-05,2.0567473046989348e-05
848,4e-05,2.0390349805948923e-05
849,4e-05,2.0214529598676836e-05
850,4e-05,2.0040019044704546e-05
851,4e-05,1.986682471425575e-05
852,4e-05,1.9694953127999125e-05
853,4e-05,1.952441075680272e-05
854,4e-05,1.9355204021490454e-05
855,4e-05,1.9187339292600246e-05
856,4e-05,1.902082289014427e-05
857,4e-05,1.8855661083370983e-05
858,4e-05,1.8691860090529032e-05
859,4e-05,1.8529426078633243e-05
860,4e-05,1.8368365163232325e-05
861,4e-05,1.820868340817874e-05
862,4e-05,1.8050386825400292e-05
863,4e-05,1.7893481374673873e-05
864,4e-05,1.7737972963400995e-05
865,4e-05,1.758386744638546e-05
866,4e-05,1.7431170625612902e-05
867,4e-05,1.727988825003229e-05
868,4e-05,1.7130026015339575e-05
869,4e-05,1.698158956376318e-05
870,4e-05,1.6834584483851633e-05
871,4e-05,1.6689016310263065e-05
872,4e-05,1.654489052355698e-05
873,4e-05,1.640221254998776e-05
874,4e-05,1.6260987761300484e-05
875,4e-05,1.61212214745286e-05
876,4e-05,1.5982918951793828e-05
877,4e-05,1.584608540010799e-05
878,4e-05,1.571072597117695e-05
879,4e-05,1.557684576120671e-05
880,4e-05,1.544444981071149e-05
881,4e-05,1.531354310432403e-05
882,4e-05,1.5184130570607802e-05
883,4e-05,1.5056217081871579e-05
884,4e-05,1.4929807453985897e-05
885,4e-05,1.4804906446201816e-05
886,4e-05,1.4681518760971672e-05
887,4e-05,1.4559649043772074e-05
888,4e-05,1.4439301882929015e-05
889,4e-05,1.4320481809445051e-05
890,4e-05,1.420319329682881e-05
891,4e-05,1.4087440760926494e-05
892,4e-05,1.3973228559755662e-05
893,4e-05,1.3860560993341119e-05
894,4e-05,1.3749442303553084e-05
895,4e-05,1.3639876673947401e-05
896,4e-05,1.353186822960812e-05
897,4e-05,1.3425421036992098e-05
898,4e-05,1.3320539103775989e-05
899,4e-05,1.3217226378705304e-05
900,4e-05,1.3115486751445735e-05
901,4e-05,1.3015324052436753e-05
902,4e-05,1.2916742052747358e-05
903,4e-05,1.2819744463934134e-05
904,4e-05,1.2724334937901455e-05
905,4e-05,1.2630517066764069e-05
906,4e-05,1.2538294382711783e-05
907,4e-05,1.2447670357876549e-05
908,4e-05,1.2358648404201651e-05
909,4e-05,1.227123187331335e-05
910,4e-05,1.2185424056394626e-05
911,4e-05,1.2101228184061278e-05
912,4e-05,1.201864742624032e-05
913,4e-05,1.1937684892050604e-05
914,4e-05,1.1858343629685784e-05
915,4e-05,1.178062662629954e-05
916,4e-05,1.1704536807893135e-05
917,4e-05,1.1630077039205207e-05
918,4e-05,1.1557250123603983e-05
919,4e-05,1.1486058802981657e-05
920,4e-05,1.1416505757651219e-05
921,4e-05,1.1348593606245522e-05
922,4e-05,1.128232490561867e-05
923,4e-05,1.1217702150749798e-05
924,4e-05,1.1154727774649087e-05
925,4e-05,1.109340414826622e-05
926,4e-05,1.1033733580401052e-05
927,4e-05,1.0975718317616762e-05
928,4e-05,1.0919360544155178e-05
929,4e-05,1.0864662381854632e-05
930,4e-05,1.0811625890070015e-05
931,4e-05,1.0760253065595267e-05
932,4e-05,1.0710545842588194e-05
933,4e-05,1.0662506092497646e-05
934,4e-05,1.0616135623993066e-05
935,4e-05,1.0571436182896372e-05
936,4e-05,1.0528409452116275e-05
937,4e-05,1.0487057051584854e-05
938,4e-05,1.0447380538196635e-05
939,4e-05,1.04093814057499e-05
940,4e-05,1.0373061084890522e-05
941,4e-05,1.0338420943058053e-05
942,4e-05,1.0305462284434249e-05
943,4e-05,1.0274186349893978e-05
944,4e-05,1.0244594316958508e-05
945,4e-05,1.0216687299751144e-05
946,4e-05,1.019046634895531e-05
947,4e-05,1.0165932451774992e-05
948,4e-05,1.0143086531897546e-05
949,4e-05,1.0121929449458941e-05
950,4e-05,1.0102462001011377e-05
951,4e-05,1.0084684919493288e-05
952,4e-05,1.0068598874201736e-05
953,4e-05,1.0054204470767243e-05
954,4e-05,1.004150225113096e-05
955,4e-05,1.0030492693524271e-05
956,4e-05,1.0021176212450809e-05
957,4e-05,1.001355315867081e-05
958,4e-05,1.0007623819187947e-05
959,4e-05,1.0003388417238498e-05
